"begin"	"r_group"	"r_id"	"p_group"	"p_id"	"e_group"	"e_id"	"h_group"	"h_id"	"m_group"	"m_id"	"deny"	"acronym"	"name"	"barcode"	"seq"	"mandatory"	"minmin"	"min "	"typical"	"max"	"maxmax"	"a_minmin"	"a_min"	"a_ok"	"a_max"	"a_maxmax"	"lapse1"	"lapse2"	"lapse3"	"remark"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CITE"				"TEMP"		"TLAIT"	"Prise de lait"		10	1	3	12	12	14	16	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:05:00"	"00:15:00"	"23:59:59"	"Température du lait en entrée"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"meso"		"INTR"		"IMESO"	"Méso"		20	1	1	"1,8"	2	"2,2"	3	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Ferment Méso"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"meso"		"MINU"		"DMESO"	"Durée en cuve"		20	1	0	0	3	5	10	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Entre Méso et Thermo..."
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"thermo"		"INTR"		"ITHERMO"	"Thermo"		30	1	0.2	0.25	0.33	0.5	1	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Ferment Méso"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"thermo"		"MINU"		"DTHERMO"	"Durée en cuve"		30	1	50	55	60	65	75	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Durée de la fermentation"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"thermo"		"TEMP"		"TTHERMO"	"Mise en cuve"		30	1	30	31	32	33	34	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Température de la cuve en fermentation"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"pres"		"INTR"		"IPRESU"	"Présure"		40	1	20	23	25	27	30	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Présure"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"pres"		"MINU"		"DPRESU"	"Durée en cuve"		40	1	28	30	35	45	47	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Durée du présurage"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"pres"		"TEMP"		"TPRESU"	"Mise en cuve"		40	1	30	31	32	33	34	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Température de la cuve en présurage"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"text"		"OK"		"VTEXT"	"Vérif.texture"		50	1	0	0	1	1	1	"rouge"	"rouge"	"vert"	"vert"	"vert"	"00:02:00"	"00:10:00"	"0:50:0"	"Approbation de la texture"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"mlx"		"MINU"		"DMLX"	"Durée en cuve"		60	1	30	37	42	47	50	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Durée du malaxage"
"01/01/2016 00:00:00"		"TV"		"FRM"		"CUVE"		"mlx"		"TEMP"		"TMLX"	"Mise en cuve"		60	1	30	31	32	33	34	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Température de la cuve en malaxage"
"01/01/2016 00:00:00"		"TV"		"FRM"		"PRSS"		"pressa"		"MINU"		"DPRESS"	"Durée sous pression"		70	1	240	280	320	360	400	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Durée du pressage"
"01/01/2016 00:00:00"		"TV"		"AFF"				"saum"		"QTITE"		"NFROM"	"Nombre de fromages"		80	1	1	2	6	8	9	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Nombre de fromages produits"
"01/01/2016 00:00:00"		"TV"		"AFF"				"saum"		"MINU"		"DSAUMU"	"Durée en saumure"		80	1	240	280	320	360	400	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Durée en saumure"
"01/01/2016 00:00:00"		"TV"		"AFF"				"saum"		"TEMP"		"TSAUMU"	"Mise en saumure"		80	1	10	11	13	14	16	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Température en saumure"
"01/01/2016 00:00:00"		"TV"		"AFF"				"aff"		"JOUR"		"JAFF"	"Jours d'affinage"		90	1	3	5	10	15	20	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Jours d'affinage"
"01/01/2016 00:00:00"		"TV"		"AFF"				"aff"		"TEMP"		"TAFF"	"Affinage"		90	1	10	11	13	14	16	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Température d'affinage"
"01/01/2016 00:00:00"		"TV"		"STK"						"JOUR"		"JSTK"	"Jours de stockage"		100	1	0	0	10	30	60	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Jours de stockage"
"01/01/2016 00:00:00"		"TV"		"STK"						"TEMP"		"TSTK"	"Stockage"		100	1	9	10	13	15	17	"rouge"	"jaune"	"vert"	"jaune"	"rouge"	"00:02:00"	"00:10:00"	"0:50:0"	"Température de stockage"
