begin	lang	m_id	name	user
14:11:28  -  21/03/17	FR	1	Temperature	1
14:11:28  -  21/03/17	EN	1	Temperature	1
14:11:28  -  21/03/17	NL	1	Temperature	1
14:11:28  -  21/03/17	DE	1	Temperature	1
14:12:12  -  21/03/17	FR	2	Humidite	1
14:12:12  -  21/03/17	EN	2	Humidite	1
14:12:12  -  21/03/17	NL	2	Humidite	1
14:12:12  -  21/03/17	DE	2	Humidite	1
14:12:52  -  21/03/17	FR	3	Lumiere	1
14:12:52  -  21/03/17	EN	3	Lumiere	1
14:12:52  -  21/03/17	NL	3	Lumiere	1
14:12:52  -  21/03/17	DE	3	Lumiere	1
14:13:53  -  21/03/17	FR	4	ConcentrationCO2	1
14:13:53  -  21/03/17	EN	4	ConcentrationCO2	1
14:13:53  -  21/03/17	NL	4	ConcentrationCO2	1
14:13:53  -  21/03/17	DE	4	ConcentrationCO2	1
