begin	g_id	idobject	type	deny	user
14:59:39  -  28/02/17	1	6	u	0	1
14:59:39  -  28/02/17	2	6	u	0	1
15:02:37  -  28/02/17	2	1	p	0	1
16:53:14  -  28/02/17	2	6	u	1	1
16:53:14  -  28/02/17	1	6	u	0	1
09:33:53  -  01/03/17	3	1	g	0	1
09:33:53  -  01/03/17	4	1	g	0	1
09:38:25  -  01/03/17	3	1	g	1	1
09:38:25  -  01/03/17	4	1	g	1	1
09:38:25  -  01/03/17	5	1	g	0	1
09:38:25  -  01/03/17	6	1	g	0	1
10:06:22  -  01/03/17	1	7	g	0	1
10:06:22  -  01/03/17	3	7	g	0	1
10:06:22  -  01/03/17	2	7	g	0	1
10:06:34  -  01/03/17	4	7	g	0	1
15:15:49  -  01/03/17	2	1	p	1	1
15:15:49  -  01/03/17	5	1	p	0	1
15:17:28  -  01/03/17	4	2	e	0	1
15:17:36  -  01/03/17	3	4	u	0	1
